Sample.ID,Country.of.Origin,State,Locality,header,Percent.Mitogenome.Coverage,Year.of.collection,Latitude,Longitude,5% dataset,65% dataset,COI dataset
AM261,AUS,QLD,NA,AUS_AM261,0,1929,-17.08333333,145.7666667,,,
AM262,AUS,QLD,Med,AUS_AM262,19.76292266,1929,-17.08333333,145.7666667,,,
AM263,AUS,QLD,NA,AUS_AM263,0,1929,-17.08333333,145.7666667,,,
AM264,AUS,QLD,NA,AUS_AM264,0,1929,-17.08333333,145.7666667,,,
AM265,AUS,QLD,Ath,AUS_AM265,18.19536209,1932,-17.26666667,145.4833333,,,
AM266,AUS,QLD,NA,AUS_AM266,0,1937,-24.4,150.5166667,,,
AM267,AUS,QLD,NA,AUS_AM267,0,1937,-24.4,150.5166667,,,
AM268,AUS,QLD,NA,AUS_AM268,0,1937,-24.4,150.5166667,,,
AM269,AUS,QLD,NA,AUS_AM269,0,1939,-27.48333333,152.9833333,,,
AM270,AUS,QLD,NA,AUS_AM270,0,1944,-19.66666667,147.4166667,,,
AM271,AUS,QLD,Cai,AUS_AM271,11.40691799,1950,-16.91666667,145.7666667,,,
AM272,AUS,QLD,NA,AUS_AM272,0,1950,-16.91666667,145.7666667,,,
AM275,AUS,WA,Krs,AUS_AM275,8.984324394,NA,NA,NA,,,
AM276,AUS,LAB,NA,AUS_AM276,0,2015,-30.2,149.6,,,
AM277,AUS,QLD,NA,AUS_AM277,0,1959,-19.56666667,147.4,,,
AM278,AUS,QLD,NA,AUS_AM278,0,1959,-19.56666667,147.4,,,
AM279,AUS,QLD,NA,AUS_AM279,0,1959,-19.56666667,147.4,,,
CA001,SPA,AND,Sev,SPA_CA001,99.39759036,NA,NA,NA,,,
CA001,CHN,SHA,,CHN_CA001,51.26311698,NA,NA,NA,,,
CA001,BRA,MAG,,BRA_CA001,95.38800363,NA,NA,NA,,,
CA001,SEN,THI,Not,SEN_CA001,93.94999352,NA,NA,NA,,,
CA001,FRA,COR,,FRA_CA001,93.95647105,NA,NA,NA,,,
CA001,MAD,VAK,Ant,MAD_CA001,96.57986786,NA,NA,NA,,,
CA001,IND,PUN,Abo,IND_CA001,99.38463532,NA,NA,NA,,,
CA001,NZL,AUK,Auk,NZL_CA001,99.35872522,NA,NA,NA,,,
CA001,UGA,WAK,Kam,UGA_CA001,99.30042752,NA,NA,NA,,,
CA002,IND,,,IND_CA002,99.41054541,NA,NA,NA,,,
CA002,MAD,VAK,Ant,MAD_CA002,99.41054541,NA,NA,NA,,,
CA002,BRA,MAG,,BRA_CA002,99.29394999,NA,NA,NA,,,
CA002,NZL,AUK,Auk,NZL_CA002,97.95310273,NA,NA,NA,,,
CA002,CHN,SHA,,CHN_CA002,99.28747247,NA,NA,NA,,,
CA002,FRA,COR,,FRA_CA002,92.49255085,NA,NA,NA,,,
CA002,SEN,THI,Not,SEN_CA002,99.27451742,NA,NA,NA,,,
CA002,AUS,NSW,,AUS_CA002,97.40251328,NA,NA,NA,,,
CA002,UGA,WAK,Kam,UGA_CA002,98.08913072,NA,NA,NA,,,
CA003,AUS,NSW,,AUS_CA003,99.41054541,NA,NA,NA,,,
CA003,MAD,VAK,Ant,MAD_CA003,99.41054541,NA,NA,NA,,,
CA003,BRA,MAG,,BRA_CA003,99.29394999,NA,NA,NA,,,
CA003,NZL,AUK,Auk,NZL_CA003,99.28099495,NA,NA,NA,,,
CA003,CHN,SHA,,CHN_CA003,74.09638554,NA,NA,NA,,,
CA003,IND,MAH,Yav,IND_CA003,99.39759036,NA,NA,NA,,,
CA003,FRA,COR,,FRA_CA003,94.62365591,NA,NA,NA,,,
CA003,UGA,WAK,Kam,UGA_CA003,97.55797383,NA,NA,NA,,,
CA003,SEN,THI,Not,SEN_CA003,98.7887032,NA,NA,NA,,,
CA004,AUS,NSW,,AUS_CA004,99.3522477,NA,NA,NA,,,
CA004,IND,MAH,Yav,IND_CA004,99.41054541,NA,NA,NA,,,
CA004,MAD,VAK,Ant,MAD_CA004,99.41054541,NA,NA,NA,,,
CA004,BRA,MAG,,BRA_CA004,98.78222568,NA,NA,NA,,,
CA004,CHN,SHA,,CHN_CA004,99.3522477,NA,NA,NA,,,
CA004,UGA,WAK,Kam,UGA_CA004,95.80904262,NA,NA,NA,,,
CA005,AUS,NSW,,AUS_CA005,99.41054541,NA,NA,NA,,,
CA005,IND,MAH,Yav,IND_CA005,99.41054541,NA,NA,NA,,,
CA005,BRA,MAG,,BRA_CA005,98.96359632,NA,NA,NA,,,
CA006,AUS,NSW,,AUS_CA006,99.41054541,NA,NA,NA,,,
CA006,BRA,GOI,Pdg,BRA_CA006,98.15390595,NA,NA,NA,,,
CA007,BRA,MAG,,BRA_CA007,99.37168027,NA,NA,NA,,,
CA007,AUS,NSW,,AUS_CA007,99.37168027,NA,NA,NA,,,
CA008,AUS,NSW,,AUS_CA008,99.41054541,NA,NA,NA,,,
CA008,BRA,MAG,,BRA_CA008,99.41054541,NA,NA,NA,,,
CA009,AUS,NSW,,AUS_CA009,99.41054541,NA,NA,NA,,,
CA010,AUS,NSW,,AUS_CA010,99.40406788,NA,NA,NA,,,
CA011,AUS,NSW,,AUS_CA011,99.31338256,NA,NA,NA,,,
CA012,AUS,NSW,,AUS_CA012,99.41054541,NA,NA,NA,,,
CA013,AUS,NSW,,AUS_CA013,99.41054541,NA,NA,NA,,,
